T = 30;
Dn = [13, 10, 15, 15, 12, 19, 21, 21, 20, 15, 12, 11, 19, 17, 13, 12, 10, 11, 13, 21, 14, 8, 22, 13, 9, 12, 12, 21, 14, 11];
Ds = [11, 5, 13, 13, 10, 14, 10, 15, 9, 7, 14, 9, 9, 7, 9, 6, 14, 13, 12, 6, 11, 14, 13, 12, 5, 7, 8, 10, 13, 6];
R = [18, 22, 18, 23, 17, 15, 22, 21, 17, 23, 22, 22, 24, 23, 17, 19, 20, 19, 21, 19, 18, 21, 18, 24, 21, 20, 18, 22, 17, 24];
f = [4993, 4972, 4979, 5000, 5029, 5006, 5007, 4985, 4978, 5023, 5002, 4996, 4998, 5009, 4997, 4978, 5022, 5013, 4999, 5022, 4973, 5012, 4998, 4991, 4986, 4999, 5024, 4973, 5006, 5016];
pn = [53, 55, 51, 56, 55, 56, 50, 50, 55, 51, 52, 53, 50, 57, 55, 51, 60, 50, 59, 56, 54, 59, 50, 54, 50, 52, 50, 57, 58, 58];
ps = [30, 33, 30, 34, 33, 35, 36, 31, 31, 30, 31, 31, 35, 33, 30, 32, 31, 31, 36, 33, 33, 34, 30, 34, 32, 30, 34, 34, 33, 36];
hn = [17, 14, 15, 17, 13, 16, 15, 13, 13, 16, 15, 16, 15, 14, 17, 14, 13, 13, 17, 15, 16, 15, 15, 15, 13, 16, 15, 13, 13, 13];
hs = [10, 11, 12, 12, 11, 12, 10, 11, 10, 12, 10, 10, 12, 12, 12, 12, 12, 10, 10, 12, 11, 10, 11, 12, 12, 10, 10, 12, 12, 11];
hr = [4, 2, 2, 4, 2, 2, 4, 4, 2, 3, 2, 2, 4, 4, 2, 4, 4, 2, 4, 4, 3, 4, 4, 3, 2, 2, 2, 3, 2, 4];
Cs = 30;
Cn = 45;
